Property_id,lat,lng,addr_street,suburb,price,property_type,year,bedrooms,bathrooms,parking_space,Shopping_center_id,Distance_to_sc,Train_station_id,Distance_to_train_station,travel_min_to_CBD,Transfer_flag,Hospital_id,Distance_to_hospital,Supermarket_id,Distance_to_supermaket
32807,-37.752721,145.016737,45 Foley Avenue,Preston,12592000,house,2015,2,1,2,SC_103,1958,20014,1620,23,0,hospital_035,1378,S_030,3892
15866,-37.73581314,144.8913269,9 Ross Street,Niddrie,11250000,house,2009,4,2,3,SC_082,1271,20036,2899,24,0,hospital_184,1409,S_049,4166
1968,-37.820721,144.848748,2/38 Millers Road,Brooklyn,4620000,house,2014,2,2,1,SC_033,685,20022,2696,22,0,hospital_056,4503,S_049,6377
1625,-37.817969,144.848232,10 Corrigan Avenue,Brooklyn,12393000,house,2015,3,1,2,SC_033,978,20022,2453,22,0,hospital_056,4335,S_049,6152
72970,-37.860689,145.255553,14 Thanos Court,Boronia,9096000,house,2016,5,3,2,SC_032,5831,19870,2383,50,0,hospital_002,1253,S_024,2554
21375,-37.765811,144.956175,57 Talbot Street,Brunswick,5980000,house,2010,2,1,0,SC_030,3756,19968,368,21,0,hospital_011,1262,S_025,3068
41654,-37.751692,145.060076,153 Brown Street,Heidelberg,12750000,house,2012,3,1,1,SC_017,871,19935,601,26,0,hospital_066,424,S_046,5334
69057,-37.86543,145.032474,30 Glendearg Grove,Malvern,30030000,house,2010,4,2,0,SC_023,1507,19944,294,19,0,hospital_157,297,S_013,541
24200,-37.705384,144.973617,23 Marjory Street,Fawkner,4050000,house,2012,3,1,1,SC_030,3651,19961,1400,35,0,hospital_139,2544,S_030,2834
21723,-37.743334,144.954353,1/2 Bellevue Street,Coburg,9008000,house,2013,3,2,2,SC_030,1272,19965,798,28,0,hospital_084,1250,S_030,2992
76212,-37.896794,145.08081,43 Carlisle Crescent,Hughesdale,13712000,house,2011,3,2,3,SC_087,935,19918,351,32,0,hospital_166,2227,S_026,1123
73089,-37.865905,145.285201,181 Dorset Road,Boronia,9120000,house,2010,3,1,1,SC_049,3764,19869,611,53,0,hospital_049,428,S_024,473
78216,-37.927792,145.189514,6 Beaconsfield Road,Mulgrave,8840000,house,2011,4,3,2,SC_073,2417,19891,3963,46,0,hospital_161,2396,S_047,2026
43844,-37.710924,145.090617,52 Nepean Street,Watsonia,7238000,house,2014,3,1,1,SC_017,5357,19984,601,34,0,hospital_075,1490,S_020,1083
13790,-37.753856,144.92814,125 Primrose Street,Essendon,5985000,house,2012,2,1,2,SC_082,2973,20036,974,24,0,hospital_128,1771,S_025,1657
75475,-37.90480804,145.0589905,8 Park View Drive,Carnegie,13280000,house,2008,4,2,2,SC_041,2233,19941,1711,36,0,hospital_159,2055,S_015,1920
35863,-37.67968,145.033015,13 Alfred Avenue,Thomastown,3740000,house,2014,3,1,1,SC_062,5577,20007,1652,38,0,hospital_041,2945,S_020,6530
10769,-37.793453,144.932234,65 Barnett Street,Kensington,4600000,house,2010,2,1,0,SC_011,1877,20041,155,14,0,hospital_114,211,S_025,3015
52251,-37.822352,145.002967,128 Coppin Street,Richmond,7660000,house,2009,2,1,0,SC_038,2081,19907,687,6,0,hospital_122,268,S_039,3074
29715,-37.76369,145.001654,22 Darebin Road,Northcote,10260000,house,2014,2,1,0,SC_103,2684,20015,407,21,0,hospital_035,552,S_030,4115
74175,-37.912451,145.273726,51 Bellfield Drive,Lysterfield,7512000,house,2014,4,2,2,SC_049,3636,19867,3696,58,0,hospital_150,3788,S_008,3110
